year,institution,enrolment,intake,intake_rate
1997,nafa_diploma,,,
1997,nanyang_polytechnic,8271.0,3083.0,37.27481562084391
1997,ngee_ann_polytechnic,14760.0,4909.0,33.25880758807588
1997,nie,2169.0,1612.0,74.31996311664362
1997,ntu,12760.0,3840.0,30.094043887147336
1997,nus,18174.0,5410.0,29.767800154066247
1997,republic_polytechnic,,,
1997,singapore_polytechnic,13755.0,4575.0,33.26063249727372
1997,sit,,,
1997,smu,,,
1997,suss,,,
1997,sutd,,,
1997,temasek_polytechnic,9806.0,3917.0,39.94493167448501
1998,ite,13808.0,11137.0,80.65614136732329
1998,lasalle_degree,,,
1998,lasalle_diploma,,,
1998,nafa_degree,,,
1998,nafa_diploma,,,
1998,nanyang_polytechnic,9277.0,3619.0,39.01045596636844
1998,ngee_ann_polytechnic,14300.0,4551.0,31.825174825174827
1998,nie,2196.0,1613.0,73.45173041894354
1998,ntu,13318.0,4019.0,30.177203784352006
1998,nus,18791.0,5741.0,30.551859932946623
1998,republic_polytechnic,,,
1998,singapore_polytechnic,13695.0,4576.0,33.4136546184739
1998,sit,,,
1998,smu,,,
1998,suss,,,
1998,sutd,,,
1998,temasek_polytechnic,11462.0,4427.0,38.62327691502355
1999,ite,16464.0,10461.0,63.53862973760933
1999,lasalle_degree,,,
1999,lasalle_diploma,,,
1999,nafa_degree,,,
1999,nafa_diploma,,,
1999,nanyang_polytechnic,10514.0,3923.0,37.31215522160928
1999,ngee_ann_polytechnic,14433.0,4831.0,33.47190466292524
1999,nie,3299.0,2628.0,79.66050318278266
1999,ntu,13849.0,4245.0,30.652032637735577
1999,nus,19873.0,6372.0,32.06360388466764
1999,republic_polytechnic,,,
1999,singapore_polytechnic,13581.0,4440.0,32.692732493925334
1999,sit,,,
1999,smu,,,
1999,suss,,,
1999,sutd,,,
1999,temasek_polytechnic,12230.0,4283.0,35.020441537203595
2000,ite,15974.0,9772.0,61.17440841367222
2000,lasalle_degree,,,
2000,lasalle_diploma,,,
2000,nafa_degree,,,
2000,nafa_diploma,,,
2000,nanyang_polytechnic,11463.0,3881.0,33.85675652098055
2000,ngee_ann_polytechnic,14378.0,4673.0,32.50104326053693
2000,nie,3072.0,2186.0,71.15885416666667
2000,ntu,14583.0,4506.0,30.898991976959472
2000,nus,21233.0,6421.0,30.24066311873028
2000,republic_polytechnic,,,
2000,singapore_polytechnic,13459.0,4446.0,33.03365777546623
2000,sit,,,
2000,smu,305.0,305.0,100.0
2000,suss,,,
2000,sutd,,,
2000,temasek_polytechnic,12733.0,4519.0,35.490457865389146
2001,ite,16176.0,10313.0,63.75494559841741
2001,lasalle_degree,,,
2001,lasalle_diploma,,,
2001,nafa_degree,,,
2001,nafa_diploma,,,
2001,nanyang_polytechnic,12385.0,4250.0,34.31570448122729
2001,ngee_ann_polytechnic,14317.0,4688.0,32.744290004889294
2001,nie,3095.0,2102.0,67.91599353796445
2001,ntu,15008.0,4156.0,27.69189765458422
2001,nus,22172.0,6479.0,29.221540681941185
2001,republic_polytechnic,,,
